être dans la panade, dans le pétrin;in der Tinte sitzen
mettre du beurre dans les épinards;den Kohl fett machen
tirer le diable par la queue;am Hungertuch nagen
piquer les trucs;etwas klauen
ne pas avoir inventé le fil à couper le beurre;das Pulver nicht erfunden haben
avoir un cœur d'artichaut;ein Herz für viele haben
se vendre comme les petits pains;wie warme Semmeln weggehen
c'est du tout cuit;das ist ganz einfach
filer en vitesse;sich schnell aus dem Staube machen
être haut comme trois pommes;drei Käse hoch sein
le moulin à paroles;das Plappermaul
ne pas avoir un radis;nichts mehr haben
en avoir soupé, ras le bol;die Nase voll haben
rester bouche bée;Mund aufsperren
sans blague;wirklich
vivre comme un coq en pâte;wie die Made im Speck leben
soûl, bourré;besoffen
être pour les prunes;vergeblich sein
la moutarde me monte au nez;mir steigt die Galle hoch
le gratin;die feinen Leute
la grosse légume;das hohe Tier
manger le morceau;Enthüllungen machen
tomber dans les pommes;in Ohnmacht fallen
mettre son grain de sel;seinen Senf dazu geben
être tout sucre, tout miel;freundlich sein
avoir de l'oseille, du blé, du fric;Geld haben
fourrer son nez partout;seine Nase überall hinein stecken
occupe-toi de tes oignons;kümmere dich um deine Sachen
défendre son bifteck;seine Interessen verteidigen
une brochette de;eine Reihe von
pédaler dans la choucroute;sich nicht wohl fühlen
ce n'est pas de la tarte;das ist kein Zuckerschlecken
c'est la fin des haricots;das ist die Höhe
jeter de l'huile sur le feu;Öl ins Feuer gießen
avaler la pilule;die bittere Pille schlucken
faire du plat;schmeicheln
faire l'omelette sans casser les œufs;wer A sagt muss auch B sagen
mettre de l'eau dans le vin;Wasser in den Wein gießen
mettre les bouts;abhauen
quelle tuile;so ein Pech
il tombe des hallebardes;es gießt in Strömen
tiré à quatre épingles;wie aus dem Ei gepellt
l'outil;das Werkzeug
les ustensiles;die Utensilien
perdre les pédales;die Beherrschung verlieren
maigre comme un clou, un hareng;spindeldürr
avoir un petit filet de voix;eine dünne Stimme haben
faire sortir qn hors de ses gonds;jdn auf die Palme bringen
river son clou à qn;jdn den Mund stopfen
mettre des bâtons sur les roues;Knüppel zwischen die Beine werfen
la gorge serrée;die zugeschnürte Kehle
mettre le couteau sous la gorge;das Messer an die Kehle setzen
vivre aux crochets de qn;jdn auf der Tasche liegen
le jeu n'en vaut pas la chandelle;das lohnt sich nicht
mettre qn en tôle;jdn ins Kittchen bringen
les carottes sont cuites;jetzt ist alles im Eimer 
n'en fais pas tout un plat;mach nicht so ein Theater
tirer les marrons du feu;die Kastanien aus dem Feuer holen
éventer la mèche;Lunte riechen
vendre la mèche;das Geheimnis verraten
prendre la poudre d'escampette;das Hasenpanier ergreifen
la cinquième roue du carrosse;das fünfte Rad am Wagen
il ne vaut pas un clou;er ist keinen Pfifferling wert
se tirer d'affaire;sich aus der Affäre ziehen
apporter de l'eau au moulin;Wasser auf die Mühlen gießen
couper les ponts;die Brücke hinter sich abbrechen
avoir tort;Unrecht haben
